,py,ind
0,-0.10771792382001877,25100.0
1,-0.10769788175821304,25200.0
2,-0.10756439715623856,25300.0
3,-0.1073739305138588,25396.0
4,-0.1071971207857132,25474.0
5,-0.1069994792342186,25595.0
6,-0.10680204629898071,25689.0
7,-0.10661258548498154,25791.0
8,-0.10640599578619003,25886.0
9,-0.1062207967042923,25964.0
10,-0.10603999346494675,26079.0
11,-0.10585013777017593,26173.0
12,-0.10564820468425751,26273.0
13,-0.10543754696846008,26367.0
14,-0.10523031651973724,26453.0
15,-0.105018250644207,26566.0
16,-0.10482073575258255,26659.0
17,-0.1046401858329773,26761.0
18,-0.10446581989526749,26853.0
19,-0.10426996648311615,26954.0
20,-0.1040671318769455,27053.0
21,-0.10384360700845718,27144.0
22,-0.10361617058515549,27245.0
23,-0.10339893400669098,27340.0
24,-0.10318639129400253,27442.0
25,-0.10298614203929901,27539.0
26,-0.10279400646686554,27637.0
27,-0.10259424149990082,27739.0
28,-0.10238299518823624,27833.0
29,-0.10214994847774506,27936.0
30,-0.101924829185009,28015.0
31,-0.10171693563461304,28128.0
32,-0.10150967538356781,28225.0
33,-0.10130824893712997,28327.0
34,-0.10110628604888916,28425.0
35,-0.10090669244527817,28498.0
36,-0.10072368383407593,28620.0
37,-0.10052761435508728,28715.0
38,-0.10034066438674927,28812.0
39,-0.10012926906347275,28912.0
40,-0.09993068128824234,28983.0
41,-0.09973631054162979,29109.0
42,-0.09954372048377991,29206.0
43,-0.0993451178073883,29302.0
44,-0.09915375709533691,29404.0
45,-0.09897640347480774,29493.0
46,-0.09880073368549347,29596.0
47,-0.09863556176424026,29697.0
48,-0.09846730530261993,29792.0
49,-0.09828425198793411,29895.0
50,-0.09809225797653198,29988.0
51,-0.09789466112852097,30089.0
52,-0.09768595546483994,30185.0
53,-0.09750564396381378,30284.0
54,-0.09733489900827408,30384.0
55,-0.09714364260435104,30478.0
56,-0.0969245508313179,30573.0
57,-0.09669312089681625,30675.0
58,-0.0964655801653862,30767.0
59,-0.09626045823097229,30868.0
60,-0.09605535119771957,30963.0
61,-0.09585201740264893,31044.0
62,-0.09564204514026642,31160.0
63,-0.09545262902975082,31256.0
64,-0.09526409208774567,31351.0
65,-0.09508252143859863,31447.0
66,-0.09487871825695038,31527.0
67,-0.09466250240802765,31647.0
68,-0.09445527195930481,31742.0
69,-0.09427927434444427,31845.0
70,-0.09410831332206726,31945.0
71,-0.09393272548913956,32021.0
72,-0.0937485322356224,32145.0
73,-0.09353919327259064,32244.0
74,-0.09335004538297653,32342.0
75,-0.09316843003034592,32433.0
76,-0.09295916557312012,32527.0
77,-0.09275219589471817,32631.0
78,-0.09255283325910568,32731.0
79,-0.0923503190279007,32828.0
80,-0.09216040372848511,32922.0
81,-0.0919845849275589,33019.0
82,-0.09180768579244614,33118.0
83,-0.09159349650144577,33219.0
84,-0.09138664603233337,33319.0
85,-0.0911921039223671,33408.0
86,-0.0909738838672638,33504.0
87,-0.09076143056154251,33587.0
88,-0.09057530760765076,33689.0
89,-0.09039367735385895,33782.0
90,-0.09022088348865509,33868.0
91,-0.09004154056310654,33956.0
92,-0.08984893560409546,34036.0
93,-0.08966010063886642,34154.0
94,-0.08947036415338516,34251.0
95,-0.08928636461496353,34351.0
96,-0.08907728642225266,34450.0
97,-0.08885766565799713,34532.0
98,-0.08864927291870117,34647.0
99,-0.08846351504325867,34748.0
100,-0.08827301114797592,34841.0
101,-0.08807320892810822,34936.0
102,-0.0878889337182045,35015.0
103,-0.08770957589149475,35134.0
104,-0.08750849962234497,35233.0
105,-0.08728226274251938,35328.0
106,-0.0870700553059578,35427.0
